N_EXPEDIEN;F_EXPEDIEN;CALLE;ALTURA;DIRECCION;SMP;M2;FECHA_ESTA;DESTINO;ZONIFICACI;TIPO_OBRA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
1.147.589/2009;14/9/2009 00:00;ARREGUI;5770;ARREGUI 5770;093-119B-001;-;26/5/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;MONTE CASTRO;COMUNA 10;1408;C1408AVJ;-34.62655174881083;-58.518076529651076
1.148.653/2009;14/9/2009 00:00;MANZANARES;3918;MANZANARES 3918;055-254-002;1001.29;14/2/2011 00:00;;;DEMOLICION TOTAL Y OBRA;SAAVEDRA;COMUNA 12;1430;C1430AEL;-34.554537543555185;-58.4831332061356
1.148.653/2009;14/9/2009 00:00;MANZANARES;3918;MANZANARES 3918;055-254-002;1001.29;22/1/2014 00:00;;;DEMOLICION TOTAL Y OBRA;SAAVEDRA;COMUNA 12;1430;C1430AEL;-34.554537543555185;-58.4831332061356
1.149.742/2009;14/9/2009 00:00;LARRALDE, CRISOLOGO AV.;2174;LARRALDE, CRISOLOGO AV. 2174;027-033-007;266.00;19/10/2011 00:00;;;OBRA NUEVA;NUÑEZ;COMUNA 13;1429;C1429BTO;-34.54781726331902;-58.46583053871467
1.149.708/2009;14/9/2009 00:00;RAVIGNANI, EMILIO, DR.;1963;RAVIGNANI, EMILIO, DR. 1963;035-061B-017;976.93;28/12/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1414;C1414CPS;-34.57967029783063;-58.43693159642187
1.154.231/2009;15/9/2009 00:00;COMBATE DE LOS POZOS;1887;COMBATE DE LOS POZOS 1887;024-097A-0000;937.34;13/11/2012 00:00;;;OBRA NUEVA;PARQUE PATRICIOS;COMUNA 4;1245;C1245AAM;-34.63080849899512;-58.391531898014875
1.160.338/2009;16/9/2009 00:00;ASUNCION;2270;ASUNCION 2270;061-142-009;569.27;4/4/2011 00:00;;;OBRA NUEVA;AGRONOMIA;COMUNA 15;1419;C1419HFD;-34.58766864942396;-58.48970826021565
1.161.240/2009;16/9/2009 00:00;PALPA;2515;PALPA 2515;037-140-019;88.27;15/4/2011 00:00;;;DEMOLICION TOTAL Y OBRA;COLEGIALES;COMUNA 13;1426;C1426DOE;-34.570749587191905;-58.44780525346054
1.161.240/2009;16/9/2009 00:00;PALPA;2515;PALPA 2515;037-140-019;88.27;27/1/2012 00:00;;;DEMOLICION TOTAL Y OBRA;COLEGIALES;COMUNA 13;1426;C1426DOE;-34.570749587191905;-58.44780525346054
1.161.349/2009;16/9/2009 00:00;IBARROLA;7222;IBARROLA 7222;072-014-002;201.77;21/11/2011 00:00;;;OBRA NUEVA;LINIERS;COMUNA 9;1408;C1408DXT;-34.64172488752864;-58.527882673945626
1.165.051/2009;17/9/2009 00:00;BONIFACIO, JOSE;2882;BONIFACIO, JOSE 2882;048-050-017;1221.09;20/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;FLORES;COMUNA 7;1406;C1406GYJ;-34.63438862868407;-58.4676460189197
